front,back
matching,調和する
melodramatic,メロドラマ風な
meticulous,極めて注意深い
microscopic,非常に小さな
momentous,重大な
motherly,母の
multicultural,多文化的な
mundane,ありふれた
mystic,秘法の 秘伝の
mythical,架空の 神話の
neglectful,不注意な
neurotic,神経質な
nomadic,遊牧の
objectionable,不快な
oblivious,忘れっぽい ぼんやりした
observant,用心深い 機敏な
opportune,時宜を得た 好都合な
ornate,飾り立てた
outright,明白な
overgrown,一面に茂った
paramount,最高の 主要な
paternal,父系の
penal,刑罰の
performing,芸当のできる
pertinent,適切な 直接関係する
pervasive,広がる
phony,にせの
pitiless,無慈悲な
pleasurable,愉快な
politic,賢明な
possessed,取りつかれた
powdery,粉の
practicable,実行できる 実用向きの
praiseworthy,称賛に値する
predictive,予報の
predominantly,圧倒的に 主として
preoccupied,夢中になった
primal,主要な
proportionate,つり合いのとれた
provisional,暫定的な
quarrelsome,けんか好きな 怒りっぽい
questionable,疑わしい
reactive,反動的な 反作用的な
receptive,受容する 理解力がある
recurrent,再発する
regulatory,規定の
relational,親類の 文法関係を示す
relentless,しつこい 情け容赦のない
reliant,頼って
repetitive,繰返しの
retarded,知能の遅れた
retiring,内気な まもなく引退する
screaming,金切り声をあげる
seamless,縫い目のない
secretarial,秘書の
secretive,秘密主義の
sensual,官能的な
shaggy,毛むくじゃらの
sheepish,羊のような
simplistic,単純化しすぎた
slick,つるつる滑る
sloppy,ずさんな
sluggish,停滞した 不振な
sparing,控えがちな
stark,全くの
statutory,法定の 法に触れる
stingy,けちくさい
strenuous,精力的な 奮闘的な
stunning,気絶させる すばらしい
substantive,独立の 自立の
tactful,機転のきく 適切な
toothless,⻭のない
transcontinental,大陸横断の
unaccountable,説明のできない
unambiguous,あいまいでない
unauthorized,権限のない
unbeaten,負けない 無敵の
uncompromising,妥協しない 断固とした
uncontrolled,抑制されていない
undercover,秘密の 内密の
underway,進行中の
unforeseen,予期しない
unorthodox,正統でない 異端の
unparalleled,前代未聞の
unprofitable,利益にならない 無駄な
unspoken,無言の
unthinkable,想像もできない
untouched,手をつけてない
usable,使用できる 便利な
venerable,尊敬すべき 立派な
versatile,多才な 融通の利く
viable,存続可能な
vile,下劣な
volatile,揮発性の
warlike,戦争が起こりそうな
wee,時刻が非常に早い
weighty,重要な
wistful,もの思いに沈んだ
wooded,樹木の茂った
wry,しかめた
zoological,動物学の
afresh,再び
aloft,上空に
briskly,きびきびと
inadvertently,不注意にも
minutely,細かく
sorely,激しく 非常に
theoretically,理論上は 名目上は
